lookup_text,fbw_percent,fbs_percent,dbs_percent,edbs_percent,cc_percent,booking_percent,lookup_norm,category_name,subject_name,category_norm,subject_norm
Умный дом и безопасность Дверные звонки,24.5,28.0,15.0,3.0,14.5,14.5,умный дом и безопасность дверные звонки,Умный дом и безопасность,Дверные звонки,умный дом и безопасность,дверные звонки
Умный дом и безопасность Датчики разбития стекла,24.5,28.0,15.0,3.0,14.5,14.5,умный дом и безопасность датчики разбития стекла,Умный дом и безопасность Датчики,разбития стекла,умный дом и безопасность датчики,разбития стекла
Умный дом и безопасность Муляжи камер видеонаблюдения,24.5,28.0,15.0,3.0,14.5,14.5,умный дом и безопасность муляжи камер видеонаблюдения,Умный дом и безопасность,Муляжи камер видеонаблюдения,умный дом и безопасность,муляжи камер видеонаблюдения
Умный дом и безопасность Системы видеонаблюдения,24.5,28.0,15.0,3.0,14.5,14.5,умный дом и безопасность системы видеонаблюдения,Умный дом и безопасность,Системы видеонаблюдения,умный дом и безопасность,системы видеонаблюдения
Фарма Дерматологические препараты,3.0,3.0,3.0,3.0,3.0,3.0,фарма дерматологические препараты,Фарма,Дерматологические препараты,фарма,дерматологические препараты
Фарма Неврологические препараты,3.0,3.0,3.0,3.0,3.0,3.0,фарма неврологические препараты,Фарма,Неврологические препараты,фарма,неврологические препараты
Фарма Противовирусные препараты,3.0,3.0,3.0,3.0,3.0,3.0,фарма противовирусные препараты,Фарма,Противовирусные препараты,фарма,противовирусные препараты
Фарма Противогрибковые препараты,3.0,3.0,3.0,3.0,3.0,3.0,фарма противогрибковые препараты,Фарма,Противогрибковые препараты,фарма,противогрибковые препараты
Фарма Сердечно-сосудистые препараты,3.0,3.0,3.0,3.0,3.0,3.0,фарма сердечно сосудистые препараты,Фарма,Сердечно-сосудистые препараты,фарма,сердечно сосудистые препараты
Фарма Урологические препараты,3.0,3.0,3.0,3.0,3.0,3.0,фарма урологические препараты,Фарма,Урологические препараты,фарма,урологические препараты
Фарма Эндокринологические препараты,3.0,3.0,3.0,3.0,3.0,3.0,фарма эндокринологические препараты,Фарма,Эндокринологические препараты,фарма,эндокринологические препараты
Фарма Лекарственные травы,3.0,3.0,3.0,3.0,3.0,3.0,фарма лекарственные травы,Фарма,Лекарственные травы,фарма,лекарственные травы
Фарма Препараты от вредных привычек,3.0,3.0,3.0,3.0,3.0,3.0,фарма препараты от вредных привычек,Фарма Препараты,от вредных привычек,фарма препараты,от вредных привычек
Фарма Витаминно-минеральные препараты,3.0,3.0,3.0,3.0,3.0,3.0,фарма витаминно минеральные препараты,Фарма,Витаминно-минеральные препараты,фарма,витаминно минеральные препараты
Фарма Препараты для дыхательной системы,3.0,3.0,3.0,3.0,3.0,3.0,фарма препараты для дыхательной системы,Фарма Препараты,для дыхательной системы,фарма препараты,для дыхательной системы
Фарма Глазные и ушные препараты,3.0,3.0,3.0,3.0,3.0,3.0,фарма глазные и ушные препараты,Фарма,Глазные и ушные препараты,фарма,глазные и ушные препараты
Фарма Гематологические препараты,3.0,3.0,3.0,3.0,3.0,3.0,фарма гематологические препараты,Фарма,Гематологические препараты,фарма,гематологические препараты
Фарма Антигистаминные препараты,3.0,3.0,3.0,3.0,3.0,3.0,фарма антигистаминные препараты,Фарма,Антигистаминные препараты,фарма,антигистаминные препараты
Фарма Болеутоляющие препараты,3.0,3.0,3.0,3.0,3.0,3.0,фарма болеутоляющие препараты,Фарма,Болеутоляющие препараты,фарма,болеутоляющие препараты
Фарма Противоварикозные препараты,3.0,3.0,3.0,3.0,3.0,3.0,фарма противоварикозные препараты,Фарма,Противоварикозные препараты,фарма,противоварикозные препараты
Фарма Антипаразитарные и противомикробные препараты,3.0,3.0,3.0,3.0,3.0,3.0,фарма антипаразитарные и противомикробные препараты,Фарма,Антипаразитарные и противомикробные препараты,фарма,антипаразитарные и противомикробные препараты
Фарма Препараты для пищеварительной системы,3.0,3.0,3.0,3.0,3.0,3.0,фарма препараты для пищеварительной системы,Фарма Препараты,для пищеварительной системы,фарма препараты,для пищеварительной системы
"Фарма Препараты от простуды, гриппа и ОРВИ",3.0,3.0,3.0,3.0,3.0,3.0,фарма препараты от простуды гриппа и орви,Фарма Препараты,"от простуды, гриппа и ОРВИ",фарма препараты,от простуды гриппа и орви
Фарма Стоматологические препараты,3.0,3.0,3.0,3.0,3.0,3.0,фарма стоматологические препараты,Фарма,Стоматологические препараты,фарма,стоматологические препараты
Фарма Препараты для опорно- двигательного аппарата,3.0,3.0,3.0,3.0,3.0,3.0,фарма препараты для опорно двигательного аппарата,Фарма Препараты,для опорно- двигательного аппарата,фарма препараты,для опорно двигательного аппарата
Фарма Противогеморроидальные препараты,3.0,3.0,3.0,3.0,3.0,3.0,фарма противогеморроидальные препараты,Фарма,Противогеморроидальные препараты,фарма,противогеморроидальные препараты
Фарма Противоопухолевые препараты,3.0,3.0,3.0,3.0,3.0,3.0,фарма противоопухолевые препараты,Фарма,Противоопухолевые препараты,фарма,противоопухолевые препараты
Фарма Гинекологические препараты,3.0,3.0,3.0,3.0,3.0,3.0,фарма гинекологические препараты,Фарма,Гинекологические препараты,фарма,гинекологические препараты
Фото и Видеотехника Осветители студийные,27.5,31.0,25.0,3.0,24.5,24.5,фото и видеотехника осветители студийные,Фото и Видеотехника,Осветители студийные,фото и видеотехника,осветители студийные
Фото и Видеотехника Контроллеры видеосигнала,23.5,27.0,25.0,3.0,18.5,18.5,фото и видеотехника контроллеры видеосигнала,Фото и Видеотехника,Контроллеры видеосигнала,фото и видеотехника,контроллеры видеосигнала
Фото и Видеотехника Отражатели для фотовспышки,28.5,32.0,25.0,3.0,18.5,18.5,фото и видеотехника отражатели для фотовспышки,Фото и Видеотехника,Отражатели для фотовспышки,фото и видеотехника,отражатели для фотовспышки
Фото и Видеотехника Конвертеры видеосигнала,22.5,26.0,25.0,3.0,18.5,18.5,фото и видеотехника конвертеры видеосигнала,Фото и Видеотехника,Конвертеры видеосигнала,фото и видеотехника,конвертеры видеосигнала
Фото и Видеотехника Репитеры видеосигнала,28.5,32.0,25.0,3.0,18.5,18.5,фото и видеотехника репитеры видеосигнала,Фото и Видеотехника,Репитеры видеосигнала,фото и видеотехника,репитеры видеосигнала
Фото и Видеотехника Кейсы для камер,28.5,32.0,25.0,3.0,18.5,18.5,фото и видеотехника кейсы для камер,Фото и Видеотехника,Кейсы для камер,фото и видеотехника,кейсы для камер
Фото и Видеотехника Объективы,21.5,25.0,15.0,3.0,11.5,11.5,фото и видеотехника объективы,Фото и Видеотехника,Объективы,фото и видеотехника,объективы
Фото и Видеотехника Фотоаппараты,21.5,25.0,15.0,3.0,11.5,11.5,фото и видеотехника фотоаппараты,Фото и Видеотехника,Фотоаппараты,фото и видеотехника,фотоаппараты
Фото и Видеотехника Сумки для фотоаппаратов,28.5,32.0,25.0,3.0,18.5,18.5,фото и видеотехника сумки для фотоаппаратов,Фото и Видеотехника,Сумки для фотоаппаратов,фото и видеотехника,сумки для фотоаппаратов
Фото и Видеотехника Камеры подводные,21.5,25.0,15.0,3.0,11.5,11.5,фото и видеотехника камеры подводные,Фото и Видеотехника,Камеры подводные,фото и видеотехника,камеры подводные
Фото и Видеотехника Реквизит для фотографа,27.5,31.0,25.0,3.0,18.5,18.5,фото и видеотехника реквизит для фотографа,Фото и Видеотехника,Реквизит для фотографа,фото и видеотехника,реквизит для фотографа
Фото и Видеотехника Салфетки для оптики,23.5,27.0,25.0,3.0,18.5,18.5,фото и видеотехника салфетки для оптики,Фото и Видеотехника,Салфетки для оптики,фото и видеотехника,салфетки для оптики
Фото и Видеотехника Кронштейны для видеотехники,28.0,31.5,25.0,3.0,18.5,18.5,фото и видеотехника кронштейны для видеотехники,Фото и Видеотехника,Кронштейны для видеотехники,фото и видеотехника,кронштейны для видеотехники
Фото и Видеотехника Чехлы для фотоаппаратов,28.5,32.0,25.0,3.0,18.5,18.5,фото и видеотехника чехлы для фотоаппаратов,Фото и Видеотехника,Чехлы для фотоаппаратов,фото и видеотехника,чехлы для фотоаппаратов
Фото и Видеотехника Фотоаппараты детские,24.5,28.0,25.0,3.0,18.5,18.5,фото и видеотехника фотоаппараты детские,Фото и Видеотехника,Фотоаппараты детские,фото и видеотехника,фотоаппараты детские
Фото и Видеотехника Передатчики видеосигнала,28.5,32.0,25.0,3.0,18.5,18.5,фото и видеотехника передатчики видеосигнала,Фото и Видеотехника,Передатчики видеосигнала,фото и видеотехника,передатчики видеосигнала
Фото и Видеотехника Дисплеи для камер,27.0,30.5,25.0,3.0,18.5,18.5,фото и видеотехника дисплеи для камер,Фото и Видеотехника,Дисплеи для камер,фото и видеотехника,дисплеи для камер
Фото и Видеотехника Экшн-камеры,24.5,28.0,25.0,3.0,18.5,18.5,фото и видеотехника экшн камеры,Фото и Видеотехника,Экшн-камеры,фото и видеотехника,экшн камеры
Фото и Видеотехника Удлинители видеосигнала,28.5,32.0,25.0,3.0,18.5,18.5,фото и видеотехника удлинители видеосигнала,Фото и Видеотехника,Удлинители видеосигнала,фото и видеотехника,удлинители видеосигнала
Фото и Видеотехника Аккумуляторы для фотоаппаратов,28.5,32.0,25.0,3.0,18.5,18.5,фото и видеотехника аккумуляторы для фотоаппаратов,Фото и Видеотехника,Аккумуляторы для фотоаппаратов,фото и видеотехника,аккумуляторы для фотоаппаратов
Фото и Видеотехника Линзы для экшн-камер,28.5,32.0,25.0,3.0,18.5,18.5,фото и видеотехника линзы для экшн камер,Фото и Видеотехника,Линзы для экшн-камер,фото и видеотехника,линзы для экшн камер
Фото и Видеотехника Диски для записи,28.5,32.0,25.0,3.0,18.5,18.5,фото и видеотехника диски для записи,Фото и Видеотехника,Диски для записи,фото и видеотехника,диски для записи
Фото и Видеотехника Аккумуляторы для камер,28.5,32.0,25.0,3.0,18.5,18.5,фото и видеотехника аккумуляторы для камер,Фото и Видеотехника,Аккумуляторы для камер,фото и видеотехника,аккумуляторы для камер
Фото и Видеотехника Фоторамки цифровые,27.0,30.5,25.0,3.0,18.5,18.5,фото и видеотехника фоторамки цифровые,Фото и Видеотехника,Фоторамки цифровые,фото и видеотехника,фоторамки цифровые
Фото и Видеотехника Термобумага для фотоаппаратов,28.5,32.0,25.0,3.0,18.5,18.5,фото и видеотехника термобумага для фотоаппаратов,Фото и Видеотехника,Термобумага для фотоаппаратов,фото и видеотехника,термобумага для фотоаппаратов
Фото и Видеотехника Карандаши для оптики,28.5,32.0,25.0,3.0,18.5,18.5,фото и видеотехника карандаши для оптики,Фото и Видеотехника,Карандаши для оптики,фото и видеотехника,карандаши для оптики
Фото и Видеотехника Фотопленки,24.5,28.0,25.0,3.0,18.5,18.5,фото и видеотехника фотопленки,Фото и Видеотехника,Фотопленки,фото и видеотехника,фотопленки
Фото и Видеотехника Столы для предметной съемки,28.5,32.0,25.0,3.0,18.5,18.5,фото и видеотехника столы для предметной съемки,Фото и Видеотехника,Столы для предметной съемки,фото и видеотехника,столы для предметной съемки
Фото и Видеотехника Телесуфлеры,27.0,30.5,25.0,3.0,18.5,18.5,фото и видеотехника телесуфлеры,Фото и Видеотехника,Телесуфлеры,фото и видеотехника,телесуфлеры
Фото и Видеотехника Кольцевые лампы,28.5,32.0,25.0,3.0,18.5,18.5,фото и видеотехника кольцевые лампы,Фото и Видеотехника,Кольцевые лампы,фото и видеотехника,кольцевые лампы
Фото и Видеотехника Видеорегистраторы персональные,27.0,30.5,25.0,3.0,18.5,18.5,фото и видеотехника видеорегистраторы персональные,Фото и Видеотехника,Видеорегистраторы персональные,фото и видеотехника,видеорегистраторы персональные
Фото и Видеотехника Крышки для камер,28.5,32.0,25.0,3.0,18.5,18.5,фото и видеотехника крышки для камер,Фото и Видеотехника,Крышки для камер,фото и видеотехника,крышки для камер
Фото и Видеотехника Пульты для камер,28.0,31.5,25.0,3.0,18.5,18.5,фото и видеотехника пульты для камер,Фото и Видеотехника,Пульты для камер,фото и видеотехника,пульты для камер
Фото и Видеотехника Декодеры видеосигнала,28.5,32.0,25.0,3.0,18.5,18.5,фото и видеотехника декодеры видеосигнала,Фото и Видеотехника,Декодеры видеосигнала,фото и видеотехника,декодеры видеосигнала
Фото и Видеотехника Фотоаппараты моментальной печати,27.0,30.5,25.0,3.0,18.5,18.5,фото и видеотехника фотоаппараты моментальной печати,Фото и Видеотехника,Фотоаппараты моментальной печати,фото и видеотехника,фотоаппараты моментальной печати
Фото и Видеотехника Вентиляторы студийные,28.0,31.5,25.0,3.0,18.5,18.5,фото и видеотехника вентиляторы студийные,Фото и Видеотехника,Вентиляторы студийные,фото и видеотехника,вентиляторы студийные
Фото и Видеотехника Стримеры видеосигнала,23.5,27.0,25.0,3.0,18.5,18.5,фото и видеотехника стримеры видеосигнала,Фото и Видеотехника,Стримеры видеосигнала,фото и видеотехника,стримеры видеосигнала
Фото и Видеотехника Пульты для MP3-плееров,28.5,32.0,25.0,3.0,18.5,18.5,фото и видеотехника пульты для mp3 плееров,Фото и Видеотехника,Пульты для MP3-плееров,фото и видеотехника,пульты для mp3 плееров
Фото и Видеотехника Фильтры для камер,28.5,32.0,25.0,3.0,18.5,18.5,фото и видеотехника фильтры для камер,Фото и Видеотехника,Фильтры для камер,фото и видеотехника,фильтры для камер
Фото и Видеотехника Крепления для камер,28.5,32.0,25.0,3.0,18.5,18.5,фото и видеотехника крепления для камер,Фото и Видеотехника,Крепления для камер,фото и видеотехника,крепления для камер
Фото и Видеотехника Делители видеосигнала,28.5,32.0,25.0,3.0,18.5,18.5,фото и видеотехника делители видеосигнала,Фото и Видеотехника,Делители видеосигнала,фото и видеотехника,делители видеосигнала
Фото и Видеотехника Карты видеозахвата,27.5,31.0,25.0,3.0,18.5,18.5,фото и видеотехника карты видеозахвата,Фото и Видеотехника,Карты видеозахвата,фото и видеотехника,карты видеозахвата
Фото и Видеотехника Переключатели видеосигнала,28.0,31.5,25.0,3.0,18.5,18.5,фото и видеотехника переключатели видеосигнала,Фото и Видеотехника,Переключатели видеосигнала,фото и видеотехника,переключатели видеосигнала
Фото и Видеотехника Фотобоксы,27.5,31.0,25.0,3.0,18.5,18.5,фото и видеотехника фотобоксы,Фото и Видеотехника,Фотобоксы,фото и видеотехника,фотобоксы
Фото и Видеотехника Линзы для камер,28.5,32.0,25.0,3.0,18.5,18.5,фото и видеотехника линзы для камер,Фото и Видеотехника,Линзы для камер,фото и видеотехника,линзы для камер
Фото и Видеотехника Фотозонты,28.0,31.5,25.0,3.0,18.5,18.5,фото и видеотехника фотозонты,Фото и Видеотехника,Фотозонты,фото и видеотехника,фотозонты
Фото и Видеотехника Фотовспышки,28.5,32.0,25.0,3.0,18.5,18.5,фото и видеотехника фотовспышки,Фото и Видеотехника,Фотовспышки,фото и видеотехника,фотовспышки
Фото и Видеотехника Переходные кольца,28.0,31.5,25.0,3.0,18.5,18.5,фото и видеотехника переходные кольца,Фото и Видеотехника,Переходные кольца,фото и видеотехника,переходные кольца
Фото и Видеотехника Средства для чистки оптики,28.5,32.0,25.0,3.0,18.5,18.5,фото и видеотехника средства для чистки оптики,Фото и Видеотехника,Средства для чистки оптики,фото и видеотехника,средства для чистки оптики
Хозяйственные товары Пакеты упаковочные,29.5,33.0,25.0,3.0,19.5,19.5,хозяйственные товары пакеты упаковочные,Хозяйственные товары,Пакеты упаковочные,хозяйственные товары,пакеты упаковочные
Хозяйственные товары Фильтры-кувшины для воды,29.5,33.0,25.0,3.0,19.5,19.5,хозяйственные товары фильтры кувшины для воды,Хозяйственные товары,Фильтры-кувшины для воды,хозяйственные товары,фильтры кувшины для воды
Хозяйственные товары Ролики для одежды,29.5,33.0,25.0,3.0,19.5,19.5,хозяйственные товары ролики для одежды,Хозяйственные товары,Ролики для одежды,хозяйственные товары,ролики для одежды
Хозяйственные товары Ершики кухонные,24.5,28.0,25.0,3.0,19.5,19.5,хозяйственные товары ершики кухонные,Хозяйственные товары,Ершики кухонные,хозяйственные товары,ершики кухонные
Хозяйственные товары Тележки уборочные,29.5,33.0,25.0,3.0,19.5,19.5,хозяйственные товары тележки уборочные,Хозяйственные товары,Тележки уборочные,хозяйственные товары,тележки уборочные
Хозяйственные товары Салфетки для уборки,29.5,33.0,25.0,3.0,19.5,19.5,хозяйственные товары салфетки для уборки,Хозяйственные товары,Салфетки для уборки,хозяйственные товары,салфетки для уборки
Хозяйственные товары Губки хозяйственные,29.5,33.0,25.0,3.0,19.5,19.5,хозяйственные товары губки хозяйственные,Хозяйственные товары,Губки хозяйственные,хозяйственные товары,губки хозяйственные
Хозяйственные товары Щетки для одежды,24.5,28.0,25.0,3.0,19.5,19.5,хозяйственные товары щетки для одежды,Хозяйственные товары Щетки,для одежды,хозяйственные товары щетки,для одежды
Хозяйственные товары Мусорные ведра,29.5,33.0,25.0,3.0,19.5,19.5,хозяйственные товары мусорные ведра,Хозяйственные товары,Мусорные ведра,хозяйственные товары,мусорные ведра
Хозяйственные товары Бумажные салфетки,29.5,33.0,25.0,3.0,19.5,19.5,хозяйственные товары бумажные салфетки,Хозяйственные товары,Бумажные салфетки,хозяйственные товары,бумажные салфетки
Хозяйственные товары Полотенца бумажные,29.5,33.0,25.0,3.0,19.5,19.5,хозяйственные товары полотенца бумажные,Хозяйственные товары,Полотенца бумажные,хозяйственные товары,полотенца бумажные
Хозяйственные товары Мешки хозяйственные,29.5,33.0,25.0,3.0,19.5,19.5,хозяйственные товары мешки хозяйственные,Хозяйственные товары,Мешки хозяйственные,хозяйственные товары,мешки хозяйственные
Хозяйственные товары Щетки для гриля,29.5,33.0,25.0,3.0,19.5,19.5,хозяйственные товары щетки для гриля,Хозяйственные товары Щетки,для гриля,хозяйственные товары щетки,для гриля
Хозяйственные товары Корзины для белья,29.5,33.0,25.0,3.0,19.5,19.5,хозяйственные товары корзины для белья,Хозяйственные товары,Корзины для белья,хозяйственные товары,корзины для белья
Хозяйственные товары Стаканы для зубных щеток,29.5,33.0,25.0,3.0,19.5,19.5,хозяйственные товары стаканы для зубных щеток,Хозяйственные товары,Стаканы для зубных щеток,хозяйственные товары,стаканы для зубных щеток
Хозяйственные товары Совки,29.5,33.0,25.0,3.0,19.5,19.5,хозяйственные товары совки,Хозяйственные товары,Совки,хозяйственные товары,совки
Хозяйственные товары Скребки для стеклокерамики,24.5,28.0,25.0,3.0,19.5,19.5,хозяйственные товары скребки для стеклокерамики,Хозяйственные товары,Скребки для стеклокерамики,хозяйственные товары,скребки для стеклокерамики
Хозяйственные товары Полотенца одноразовые,29.5,33.0,25.0,3.0,19.5,19.5,хозяйственные товары полотенца одноразовые,Хозяйственные товары,Полотенца одноразовые,хозяйственные товары,полотенца одноразовые
Хозяйственные товары Прессы для бутылок,28.5,32.0,25.0,3.0,19.5,19.5,хозяйственные товары прессы для бутылок,Хозяйственные товары,Прессы для бутылок,хозяйственные товары,прессы для бутылок
Хозяйственные товары Подсветки для унитаза,29.5,33.0,25.0,3.0,19.5,19.5,хозяйственные товары подсветки для унитаза,Хозяйственные товары,Подсветки для унитаза,хозяйственные товары,подсветки для унитаза
Хозяйственные товары Упаковочная пленка,29.5,33.0,25.0,3.0,19.5,19.5,хозяйственные товары упаковочная пленка,Хозяйственные товары,Упаковочная пленка,хозяйственные товары,упаковочная пленка
Хозяйственные товары Щетки для уборки,29.5,33.0,25.0,3.0,19.5,19.5,хозяйственные товары щетки для уборки,Хозяйственные товары Щетки,для уборки,хозяйственные товары щетки,для уборки
Хозяйственные товары Доски гладильные,29.5,33.0,25.0,3.0,19.5,19.5,хозяйственные товары доски гладильные,Хозяйственные товары,Доски гладильные,хозяйственные товары,доски гладильные
Хозяйственные товары Подложки для раковины,24.5,28.0,25.0,3.0,19.5,19.5,хозяйственные товары подложки для раковины,Хозяйственные товары,Подложки для раковины,хозяйственные товары,подложки для раковины
Хозяйственные товары Держатели для туалетной бумаги,29.5,33.0,25.0,3.0,19.5,19.5,хозяйственные товары держатели для туалетной бумаги,Хозяйственные товары,Держатели для туалетной бумаги,хозяйственные товары,держатели для туалетной бумаги
Хозяйственные товары Мешки для стирки,29.5,33.0,25.0,3.0,19.5,19.5,хозяйственные товары мешки для стирки,Хозяйственные товары,Мешки для стирки,хозяйственные товары,мешки для стирки
Хозяйственные товары Держатели для ванной,29.5,33.0,25.0,3.0,19.5,19.5,хозяйственные товары держатели для ванной,Хозяйственные товары,Держатели для ванной,хозяйственные товары,держатели для ванной
Хозяйственные товары Прищепки,29.5,33.0,25.0,3.0,19.5,19.5,хозяйственные товары прищепки,Хозяйственные товары,Прищепки,хозяйственные товары,прищепки
Хозяйственные товары Пакеты пищевые,24.5,28.0,25.0,3.0,19.5,19.5,хозяйственные товары пакеты пищевые,Хозяйственные товары,Пакеты пищевые,хозяйственные товары,пакеты пищевые
Хозяйственные товары Тазы хозяйственные,29.5,33.0,25.0,3.0,19.5,19.5,хозяйственные товары тазы хозяйственные,Хозяйственные товары,Тазы хозяйственные,хозяйственные товары,тазы хозяйственные
Хозяйственные товары Сетки для глажения,24.5,28.0,25.0,3.0,19.5,19.5,хозяйственные товары сетки для глажения,Хозяйственные товары,Сетки для глажения,хозяйственные товары,сетки для глажения
Хозяйственные товары Скребки для посуды,29.5,33.0,25.0,3.0,19.5,19.5,хозяйственные товары скребки для посуды,Хозяйственные товары,Скребки для посуды,хозяйственные товары,скребки для посуды
Хозяйственные товары Губки для посуды,29.5,33.0,25.0,3.0,19.5,19.5,хозяйственные товары губки для посуды,Хозяйственные товары,Губки для посуды,хозяйственные товары,губки для посуды
Хозяйственные товары Диспенсеры для покрытий на унитаз,29.5,33.0,25.0,3.0,19.5,19.5,хозяйственные товары диспенсеры для покрытий на унитаз,Хозяйственные товары,Диспенсеры для покрытий на унитаз,хозяйственные товары,диспенсеры для покрытий на унитаз
Хозяйственные товары Уход за разделочными досками,24.5,28.0,25.0,3.0,19.5,19.5,хозяйственные товары уход за разделочными досками,Хозяйственные товары,Уход за разделочными досками,хозяйственные товары,уход за разделочными досками
Хозяйственные товары Упаковки для яиц,29.5,33.0,25.0,3.0,19.5,19.5,хозяйственные товары упаковки для яиц,Хозяйственные товары,Упаковки для яиц,хозяйственные товары,упаковки для яиц
Хозяйственные товары Другие хозяйственные принадлежности,29.5,33.0,25.0,3.0,19.5,19.5,хозяйственные товары другие хозяйственные принадлежности,Хозяйственные товары,Другие хозяйственные принадлежности,хозяйственные товары,другие хозяйственные принадлежности
Хозяйственные товары Коврики для глажения,29.5,33.0,25.0,3.0,19.5,19.5,хозяйственные товары коврики для глажения,Хозяйственные товары,Коврики для глажения,хозяйственные товары,коврики для глажения
Хозяйственные товары Уголь активированный,29.5,33.0,25.0,3.0,19.5,19.5,хозяйственные товары уголь активированный,Хозяйственные товары,Уголь активированный,хозяйственные товары,уголь активированный
Хозяйственные товары Держатели для шубок,29.5,33.0,25.0,3.0,19.5,19.5,хозяйственные товары держатели для шубок,Хозяйственные товары,Держатели для шубок,хозяйственные товары,держатели для шубок
Хозяйственные товары Губки меламиновые,29.5,33.0,25.0,3.0,19.5,19.5,хозяйственные товары губки меламиновые,Хозяйственные товары,Губки меламиновые,хозяйственные товары,губки меламиновые
Хозяйственные товары Салфетки для одежды,24.5,28.0,25.0,3.0,19.5,19.5,хозяйственные товары салфетки для одежды,Хозяйственные товары,Салфетки для одежды,хозяйственные товары,салфетки для одежды
Хозяйственные товары Крысоловки,29.5,33.0,25.0,3.0,19.5,19.5,хозяйственные товары крысоловки,Хозяйственные товары,Крысоловки,хозяйственные товары,крысоловки
Хозяйственные товары Ручки для переноски бутылей,24.5,28.0,25.0,3.0,19.5,19.5,хозяйственные товары ручки для переноски бутылей,Хозяйственные товары,Ручки для переноски бутылей,хозяйственные товары,ручки для переноски бутылей
Хозяйственные товары Подставки под гладильные прессы,29.5,33.0,25.0,3.0,19.5,19.5,хозяйственные товары подставки под гладильные прессы,Хозяйственные товары,Подставки под гладильные прессы,хозяйственные товары,подставки под гладильные прессы
Хозяйственные товары Мыло металлическое,24.5,28.0,25.0,3.0,19.5,19.5,хозяйственные товары мыло металлическое,Хозяйственные товары,Мыло металлическое,хозяйственные товары,мыло металлическое
Хозяйственные товары Салфетки для мытья посуды,24.5,28.0,25.0,3.0,19.5,19.5,хозяйственные товары салфетки для мытья посуды,Хозяйственные товары,Салфетки для мытья посуды,хозяйственные товары,салфетки для мытья посуды
Хозяйственные товары Диспенсеры для бумажных полотенец,29.5,33.0,25.0,3.0,19.5,19.5,хозяйственные товары диспенсеры для бумажных полотенец,Хозяйственные товары,Диспенсеры для бумажных полотенец,хозяйственные товары,диспенсеры для бумажных полотенец
Хозяйственные товары Щетки кухонные,24.5,28.0,25.0,3.0,19.5,19.5,хозяйственные товары щетки кухонные,Хозяйственные товары Щетки,кухонные,хозяйственные товары щетки,кухонные
Хозяйственные товары Влажная туалетная бумага,29.5,33.0,25.0,3.0,19.5,19.5,хозяйственные товары влажная туалетная бумага,Хозяйственные товары,Влажная туалетная бумага,хозяйственные товары,влажная туалетная бумага
Хозяйственные товары Бумага пищевая,29.5,33.0,25.0,3.0,19.5,19.5,хозяйственные товары бумага пищевая,Хозяйственные товары,Бумага пищевая,хозяйственные товары,бумага пищевая
Хозяйственные товары Мешки для мусора,29.5,33.0,25.0,3.0,19.5,19.5,хозяйственные товары мешки для мусора,Хозяйственные товары,Мешки для мусора,хозяйственные товары,мешки для мусора
Хозяйственные товары Ленты клипсаторные,24.5,28.0,25.0,3.0,19.5,19.5,хозяйственные товары ленты клипсаторные,Хозяйственные товары,Ленты клипсаторные,хозяйственные товары,ленты клипсаторные
Хозяйственные товары Масла смазочные,29.5,33.0,25.0,3.0,19.5,19.5,хозяйственные товары масла смазочные,Хозяйственные товары,Масла смазочные,хозяйственные товары,масла смазочные
Хозяйственные товары Насадки для швабр,29.5,33.0,25.0,3.0,19.5,19.5,хозяйственные товары насадки для швабр,Хозяйственные товары,Насадки для швабр,хозяйственные товары,насадки для швабр
Хозяйственные товары Фольга пищевая,29.5,33.0,25.0,3.0,19.5,19.5,хозяйственные товары фольга пищевая,Хозяйственные товары,Фольга пищевая,хозяйственные товары,фольга пищевая
Хозяйственные товары Доски стиральные,29.5,33.0,25.0,3.0,19.5,19.5,хозяйственные товары доски стиральные,Хозяйственные товары,Доски стиральные,хозяйственные товары,доски стиральные
Хозяйственные товары Ручки для пакетов,24.5,28.0,25.0,3.0,19.5,19.5,хозяйственные товары ручки для пакетов,Хозяйственные товары,Ручки для пакетов,хозяйственные товары,ручки для пакетов
Хозяйственные товары Пленка пищевая,29.5,33.0,25.0,3.0,19.5,19.5,хозяйственные товары пленка пищевая,Хозяйственные товары,Пленка пищевая,хозяйственные товары,пленка пищевая
Хозяйственные товары Бумага для выпечки,25.5,29.0,25.0,3.0,19.5,19.5,хозяйственные товары бумага для выпечки,Хозяйственные товары,Бумага для выпечки,хозяйственные товары,бумага для выпечки
