lookup_text,fbw_percent,fbs_percent,dbs_percent,edbs_percent,cc_percent,booking_percent,lookup_norm,category_name,subject_name,category_norm,subject_norm
Ручной инструмент и оснастка Цепи для пил,31.5,35.0,25.0,3.0,21.5,21.5,ручной инструмент и оснастка цепи для пил,Ручной инструмент и оснастка,Цепи для пил,ручной инструмент и оснастка,цепи для пил
Ручной инструмент и оснастка Ножи пистолетные,31.5,35.0,25.0,3.0,21.5,21.5,ручной инструмент и оснастка ножи пистолетные,Ручной инструмент и оснастка,Ножи пистолетные,ручной инструмент и оснастка,ножи пистолетные
Ручной инструмент и оснастка Фрезы,31.0,34.5,25.0,3.0,21.5,21.5,ручной инструмент и оснастка фрезы,Ручной инструмент и оснастка,Фрезы,ручной инструмент и оснастка,фрезы
Ручной инструмент и оснастка Линейки строительные,31.5,35.0,25.0,3.0,21.5,21.5,ручной инструмент и оснастка линейки строительные,Ручной инструмент и оснастка,Линейки строительные,ручной инструмент и оснастка,линейки строительные
Ручной инструмент и оснастка Стамески,31.5,35.0,25.0,3.0,21.5,21.5,ручной инструмент и оснастка стамески,Ручной инструмент и оснастка,Стамески,ручной инструмент и оснастка,стамески
Ручной инструмент и оснастка Инструмент для вязки арматуры,31.5,35.0,25.0,3.0,21.5,21.5,ручной инструмент и оснастка инструмент для вязки арматуры,Ручной инструмент и оснастка,Инструмент для вязки арматуры,ручной инструмент и оснастка,инструмент для вязки арматуры
Ручной инструмент и оснастка Щупы магнитные,26.5,30.0,25.0,3.0,21.5,21.5,ручной инструмент и оснастка щупы магнитные,Ручной инструмент и оснастка,Щупы магнитные,ручной инструмент и оснастка,щупы магнитные
Ручной инструмент и оснастка Пилки для лобзика,31.5,35.0,25.0,3.0,21.5,21.5,ручной инструмент и оснастка пилки для лобзика,Ручной инструмент и оснастка,Пилки для лобзика,ручной инструмент и оснастка,пилки для лобзика
Ручной инструмент и оснастка Круги шлифовальные,31.5,35.0,25.0,3.0,21.5,21.5,ручной инструмент и оснастка круги шлифовальные,Ручной инструмент и оснастка,Круги шлифовальные,ручной инструмент и оснастка,круги шлифовальные
Ручной инструмент и оснастка Диски для УШМ,31.5,35.0,25.0,3.0,21.5,21.5,ручной инструмент и оснастка диски для ушм,Ручной инструмент и оснастка,Диски для УШМ,ручной инструмент и оснастка,диски для ушм
Ручной инструмент и оснастка Комплектующие для лазерных уровней и нивелиров,31.5,35.0,25.0,3.0,21.5,21.5,ручной инструмент и оснастка комплектующие для лазерных уровней и нивелиров,Ручной инструмент и оснастка Комплектующие для,лазерных уровней и нивелиров,ручной инструмент и оснастка комплектующие для,лазерных уровней и нивелиров
Ручной инструмент и оснастка Удлинители торцевых головок,31.5,35.0,25.0,3.0,21.5,21.5,ручной инструмент и оснастка удлинители торцевых головок,Ручной инструмент и оснастка,Удлинители торцевых головок,ручной инструмент и оснастка,удлинители торцевых головок
Ручной инструмент и оснастка Масла компрессорные,31.5,35.0,25.0,3.0,21.5,21.5,ручной инструмент и оснастка масла компрессорные,Ручной инструмент и оснастка,Масла компрессорные,ручной инструмент и оснастка,масла компрессорные
Ручной инструмент и оснастка Ящики для инструментов,31.5,35.0,25.0,3.0,21.5,21.5,ручной инструмент и оснастка ящики для инструментов,Ручной инструмент и оснастка,Ящики для инструментов,ручной инструмент и оснастка,ящики для инструментов
Ручной инструмент и оснастка Подшлемники под каску,31.5,35.0,25.0,3.0,21.5,21.5,ручной инструмент и оснастка подшлемники под каску,Ручной инструмент и оснастка,Подшлемники под каску,ручной инструмент и оснастка,подшлемники под каску
Ручной инструмент и оснастка Тахометры,31.0,34.5,25.0,3.0,21.5,21.5,ручной инструмент и оснастка тахометры,Ручной инструмент и оснастка,Тахометры,ручной инструмент и оснастка,тахометры
Ручной инструмент и оснастка Струбцины,31.5,35.0,25.0,3.0,21.5,21.5,ручной инструмент и оснастка струбцины,Ручной инструмент и оснастка,Струбцины,ручной инструмент и оснастка,струбцины
Ручной инструмент и оснастка Приборы для контроля электроэнергии и сетей,31.5,35.0,25.0,3.0,21.5,21.5,ручной инструмент и оснастка приборы для контроля электроэнергии и сетей,Ручной инструмент и оснастка,Приборы для контроля электроэнергии и сетей,ручной инструмент и оснастка,приборы для контроля электроэнергии и сетей
Ручной инструмент и оснастка Шаблоны строительные,31.5,35.0,25.0,3.0,21.5,21.5,ручной инструмент и оснастка шаблоны строительные,Ручной инструмент и оснастка,Шаблоны строительные,ручной инструмент и оснастка,шаблоны строительные
